spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
1hB8pAcdgVzSLbnFMYXKOc,2020-04-24 15:17:36,cast to device,195734,"Battered, Black & Blue (Hole In My Heart)",AWOLNATION,Angel Miners & The Lightning Riders,trackdone,trackdone,FALSE,FALSE
37jTPJgwCCmIGMPB45jrPV,2020-04-28 21:08:02,cast to device,338414,Holy Grail,JAY-Z,Magna Carta... Holy Grail,trackdone,trackdone,FALSE,FALSE
7BVwi9cIzSc6tpyxsp47vJ,2020-05-03 06:28:35,android,223640,Mess Is Mine,Vance Joy,Dream Your Life Away,fwdbtn,trackdone,TRUE,FALSE
5MLjVCMjJKwXLk6JmPeOPe,2020-05-11 06:23:35,android,1563,Best Part of Me (feat. YEBBA),Ed Sheeran,No.6 Collaborations Project,fwdbtn,fwdbtn,TRUE,FALSE
3lSi6qfnp2YZazTzcOLBZk,2020-05-19 13:40:36,cast to device,144187,I'll Be Back - Remastered 2009,The Beatles,A Hard Day's Night,trackdone,trackdone,FALSE,FALSE
6A9mKXlFRPMPem6ygQSt7z,2020-05-22 17:57:10,cast to device,179993,Three Little Birds,Bob Marley & The Wailers,Exodus,trackdone,trackdone,FALSE,FALSE
1UMoEbjcFhtSwZUNo2MK4y,2020-05-30 04:49:42,android,800,Mrs. Vandebilt - 2010 Remaster,Paul McCartney,Band On The Run,fwdbtn,fwdbtn,TRUE,FALSE
1t4wa5r7E7oZ2D4G07JFsI,2020-06-01 22:21:31,cast to device,223316,The Best,AWOLNATION,Angel Miners & The Lightning Riders,trackdone,trackdone,FALSE,FALSE
1tTV7mRV9uB2Nr9VcwkuFX,2020-06-05 16:01:14,cast to device,76876,Greek Tragedy,The Wombats,Glitterbug,trackdone,fwdbtn,FALSE,FALSE
3YvSaCeNvGlFzIU1cFC5mG,2020-06-08 00:08:34,android,0,Crawl,Kings of Leon,Only By The Night,fwdbtn,fwdbtn,TRUE,FALSE
3KfbEIOC7YIv90FIfNSZpo,2020-06-14 05:27:28,android,146333,In My Life - Remastered 2009,The Beatles,Rubber Soul,playbtn,trackdone,TRUE,FALSE
4mtracN0MNSzOGPHod4yIi,2020-06-20 22:42:03,android,60016,My Own Soul’s Warning,The Killers,My Own Soul's Warning,clickrow,unexpected-exit,FALSE,FALSE
7DmiHaP1MxL9i1p0kHhXq2,2020-06-28 20:25:19,android,300973,Wasted Time,Vance Joy,Dream Your Life Away,trackdone,trackdone,TRUE,FALSE
2ZltjIqztEpZtafc8w0I9t,2020-07-23 03:55:24,android,234197,3005,Childish Gambino,Because the Internet,trackdone,trackdone,FALSE,FALSE
4dPKQxaraW6CG1rTBzV6DW,2020-07-29 20:02:10,android,276426,My Iron Lung,Radiohead,The Bends,trackdone,trackdone,TRUE,FALSE
1SCXzqKZdif5b33POmzwI4,2020-08-03 00:57:37,android,3192,Angel Of Small Death & The Codeine Scene,Hozier,Hozier,fwdbtn,fwdbtn,TRUE,FALSE
1hgvykolO4kBIEozATmpyj,2020-08-12 22:37:33,android,1103,If I Fell - Remastered 2009,The Beatles,A Hard Day's Night,fwdbtn,fwdbtn,TRUE,FALSE
2NiKqnDaUJHq8l67t4509u,2020-08-15 13:39:39,android,239333,Flesh And Bone,The Killers,Battle Born,trackdone,trackdone,TRUE,FALSE
